TARGET_B,TARGET_D,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT,KNN_SCORE
0,,5,101,87,0,?,?, .,H,M,2,0,P,0,,554,294,76,11855,0,0,0,0,1,0,A,1,0.067,15.0,0.0,0.0,1,0,26,19,45,297,35,8.49,15,20,5,15,5,12,26,92,8.49,7,0
1,10,12,137,79,0,R,2,45,H,M,7,0,P,0,3,334,212,72,10385,0,41,21,31,1,1,S,2,0.235,15.0,0.25,15.0,4,2,11,32,90,368,25,14.72,20,25,5,17,7,21,7,122,14.72,12,0
0,,37,113,75,0,S,1,11,H,F,5,0,P,0,9,2388,405,63,30855,0,25,26,57,1,1,S,3,0.409,21.67,0.545,22.67,9,6,14,44,119,603,36,16.75,23,28,5,19,11,32,6,105,16.75,16,0
0,,38,92,,0,U,2,4,H,F,6,1,B,0,4,1688,153,3,16342,0,25,32,42,1,0,A,3,0.474,13.44,0.4,13.5,9,4,11,31,96,435,37,11.76,14,17,3,15,11,33,6,92,11.76,12,0
0,,41,101,74,0,R,2,49,U,F,2,1,B,8,5,514,328,90,12107,0,33,36,37,0,0,A,1,0.1,17.5,0.111,10.0,2,1,18,30,83,106,12,8.83,20,25,5,25,6,19,18,92,8.83,3,0
0,,52,101,63,0,U,3,8,U,M,3,0,P,0,,452,182,51,6851,0,57,38,34,0,0,A,4,0.2,8.33,0.125,10.0,3,1,19,22,59,128,22,5.82,7,10,3,10,9,20,19,91,5.82,6,0
0,,53,89,71,0,R,3,50,H,M,5,0,P,0,7,376,122,68,5900,0,17,11,51,1,4,A,1,0.167,18.67,0.273,18.67,3,3,21,29,72,220,20,11.0,15,20,5,20,7,18,21,91,11.0,8,0
1,5,67,89,79,0,C,2,28,H,F,1,0,P,0,,1004,189,95,12667,3,44,49,50,1,0,A,4,0.4,5.0,0.444,5.0,8,4,12,33,89,101,20,5.05,4,7,3,5,9,24,9,91,5.05,8,0
0,,70,89,41,0,C,3,30,H,F,4,0,P,0,,361,180,56,8132,2,51,45,45,1,0,A,4,0.409,5.0,0.455,5.0,9,5,17,36,91,171,34,5.03,4,7,3,5,11,25,17,91,5.03,14,0
1,16,71,101,63,0,R,2,43,H,F,4,1,B,0,,399,307,86,11428,1,33,33,29,1,1,S,3,0.357,8.6,0.571,8.5,5,4,11,27,62,150,22,6.82,8,11,3,8,11,27,9,91,6.82,13,0
0,,156,125,73,0,?,?, .,U,F,5,0,B,17,9,706,299,76,12426,0,0,0,0,1,1,S,2,0.15,8.33,0.111,10.0,3,1,18,38,98,201,33,6.09,8,10,2,10,6,15,18,124,6.09,10,0
1,12,159,77,81,0,R,2,45,U,M,4,1,B,24,3,530,236,81,12208,1,34,19,46,1,0,A,4,0.5,9.64,0.455,9.8,11,5,11,33,90,270,29,9.31,10,15,5,15,11,29,6,89,9.31,7,0
0,,162,65,76,0,S,2,20,U,F,2,1,B,7,7,813,255,48,13079,0,47,24,23,1,0,A,1,0.19,16.25,0.182,17.5,4,2,20,37,99,277,24,11.54,20,25,5,15,11,27,20,89,11.54,4,0
0,,210,101,69,0,S,2,16,H,F,3,1,B,32,6,663,340,68,13347,1,25,37,33,1,1,S,2,0.389,11.57,0.333,10.67,7,3,12,33,96,255,26,9.81,15,20,5,10,8,21,12,92,9.81,10,0
1,8,220,77,45,0,C,3,30,H,M,2,0,B,4,2,550,387,83,20210,0,49,43,37,1,1,S,4,0.438,6.14,0.571,6.0,7,4,13,29,79,122,22,5.55,5,8,3,7,9,25,5,87,5.55,11,0
0,,230,65,71,0,T,2,40,H,M,3,0,B,0,7,2222,450,86,29771,2,34,26,43,0,0,A,1,0.1,17.5,0.0,0.0,2,0,26,16,44,90,7,12.86,15,20,5,20,5,12,26,88,12.86,1,0
